v129_rawvalue_11,v129_rawvalue_12,v129_rawvalue_13,v129_rawvalue_14,v129_rawvalue_15,v129_rawvalue_16,v129_rawvalue_17,fips,county
26,24,26,NA,NA,NA,26,20125,Montgomery County
NA,NA,NA,NA,NA,NA,NA,20127,Morris County
NA,NA,NA,NA,NA,NA,NA,20129,Morton County
NA,NA,NA,NA,NA,NA,NA,20131,Nemaha County
19.5,NA,NA,22.4,NA,NA,NA,20133,Neosho County
NA,NA,NA,NA,NA,NA,NA,20135,Ness County
NA,NA,NA,NA,NA,NA,NA,20137,Norton County
NA,NA,NA,NA,NA,NA,NA,20139,Osage County
NA,NA,NA,NA,NA,NA,NA,20141,Osborne County
NA,NA,NA,NA,NA,NA,NA,20143,Ottawa County
NA,NA,NA,NA,NA,NA,NA,20145,Pawnee County
NA,NA,NA,NA,NA,NA,NA,20147,Phillips County
26,NA,NA,NA,NA,NA,NA,20149,Pottawatomie County
NA,NA,NA,NA,NA,NA,NA,20151,Pratt County
NA,NA,NA,NA,NA,NA,NA,20153,Rawlins County
25.6,26,26,26,25.6,25.6,25.6,20155,Reno County
NA,NA,NA,NA,NA,NA,NA,20157,Republic County
NA,NA,NA,NA,NA,NA,NA,20159,Rice County
26,26,26,26,26,26,26,20161,Riley County
NA,NA,NA,NA,NA,NA,NA,20163,Rooks County
NA,NA,NA,NA,NA,NA,NA,20165,Rush County
NA,NA,NA,NA,NA,NA,NA,20167,Russell County
25.6,24.8,24.8,25.6,25.6,26,26,20169,Saline County
NA,NA,NA,NA,NA,NA,NA,20171,Scott County
25.6,26,25.6,26,26,26,26,20173,Sedgwick County
26,26,26,26,26,NA,NA,20175,Seward County
25.6,25.6,25.6,26,26,26,26,20177,Shawnee County
NA,NA,NA,NA,NA,NA,NA,20179,Sheridan County
NA,NA,NA,NA,NA,NA,NA,20181,Sherman County
NA,NA,NA,NA,NA,NA,NA,20183,Smith County
NA,NA,NA,NA,NA,NA,NA,20185,Stafford County
NA,NA,NA,NA,NA,NA,NA,20187,Stanton County
NA,NA,NA,NA,NA,NA,NA,20189,Stevens County
NA,NA,NA,NA,NA,NA,NA,20191,Sumner County
NA,NA,NA,NA,NA,NA,NA,20193,Thomas County
NA,NA,NA,NA,NA,NA,NA,20195,Trego County
NA,NA,NA,NA,NA,NA,NA,20197,Wabaunsee County
NA,NA,NA,NA,NA,NA,NA,20199,Wallace County
NA,NA,NA,NA,NA,NA,NA,20201,Washington County
NA,NA,NA,NA,NA,NA,NA,20203,Wichita County
NA,NA,NA,NA,NA,NA,NA,20205,Wilson County
NA,NA,NA,NA,NA,NA,NA,20207,Woodson County
25.6,24.8,25.6,25.6,25.6,26,26,20209,Wyandotte County
26,26,26,26,26,26,26,21000,Kentucky
NA,NA,NA,NA,NA,NA,NA,21001,Adair County
26,NA,NA,NA,NA,NA,NA,21003,Allen County
24.8,NA,NA,NA,NA,NA,NA,21005,Anderson County
NA,NA,NA,NA,NA,NA,NA,21007,Ballard County
26,26,26,26,26,26,26,21009,Barren County
NA,NA,NA,NA,NA,NA,NA,21011,Bath County
24,23.2,24,25.6,25.6,NA,NA,21013,Bell County
26,26,26,26,26,26,26,21015,Boone County
24,NA,NA,NA,NA,NA,NA,21017,Bourbon County
26,25.6,26,26,26,25.6,25.6,21019,Boyd County
NA,NA,NA,NA,NA,NA,NA,21021,Boyle County
NA,NA,NA,NA,NA,NA,NA,21023,Bracken County
NA,NA,NA,NA,NA,NA,NA,21025,Breathitt County
NA,NA,NA,NA,NA,NA,NA,21027,Breckinridge County
26,26,26,26,26,26,26,21029,Bullitt County
NA,NA,NA,NA,NA,NA,NA,21031,Butler County
NA,NA,NA,NA,NA,NA,NA,21033,Caldwell County
NA,NA,NA,NA,NA,NA,NA,21035,Calloway County
26,25.6,26,26,26,26,26,21037,Campbell County
NA,NA,NA,NA,NA,NA,NA,21039,Carlisle County
NA,NA,NA,NA,NA,NA,NA,21041,Carroll County
NA,NA,NA,NA,NA,NA,NA,21043,Carter County
25.6,NA,NA,NA,NA,20.5,NA,21045,Casey County
25.6,26,26,25.6,26,26,25.6,21047,Christian County
26,26,26,NA,NA,NA,NA,21049,Clark County
NA,24,NA,NA,NA,NA,NA,21051,Clay County
NA,NA,NA,NA,NA,NA,NA,21053,Clinton County
NA,NA,NA,NA,NA,NA,NA,21055,Crittenden County
NA,NA,NA,NA,NA,NA,NA,21057,Cumberland County
25.6,26,26,26,26,26,26,21059,Daviess County
NA,NA,NA,NA,NA,NA,NA,21061,Edmonson County
NA,NA,NA,NA,NA,NA,NA,21063,Elliott County
20.5,NA,NA,NA,NA,NA,NA,21065,Estill County
26,26,26,26,26,26,26,21067,Fayette County
NA,NA,NA,NA,NA,NA,NA,21069,Fleming County
24.8,25.6,25.6,26,26,25.6,25.6,21071,Floyd County
26,26,26,26,26,26,25.6,21073,Franklin County
NA,NA,NA,NA,NA,NA,NA,21075,Fulton County
NA,NA,NA,NA,NA,NA,NA,21077,Gallatin County
NA,NA,NA,NA,NA,NA,NA,21079,Garrard County
26,NA,NA,NA,NA,NA,NA,21081,Grant County
26,25.6,26,26,26,NA,NA,21083,Graves County
NA,NA,NA,NA,NA,NA,NA,21085,Grayson County
NA,NA,NA,NA,NA,NA,NA,21087,Green County
26,26,NA,NA,NA,NA,NA,21089,Greenup County
NA,NA,NA,NA,NA,NA,NA,21091,Hancock County
26,26,26,26,26,26,26,21093,Hardin County
24.8,26,25.6,24.8,25.6,NA,NA,21095,Harlan County
NA,NA,NA,NA,NA,NA,NA,21097,Harrison County
NA,NA,NA,NA,NA,NA,NA,21099,Hart County
25.6,26,26,25.6,26,25.6,25.6,21101,Henderson County
NA,NA,NA,NA,NA,NA,NA,21103,Henry County
NA,NA,NA,NA,NA,NA,NA,21105,Hickman County
25.6,25.6,25.6,26,26,NA,NA,21107,Hopkins County
NA,NA,NA,NA,NA,NA,NA,21109,Jackson County
26,26,26,26,26,26,26,21111,Jefferson County
26,26,26,26,26,25.6,25.6,21113,Jessamine County
20.5,23.2,23.2,23.2,24,NA,NA,21115,Johnson County
23.2,25.6,24.8,24.8,25.6,24.8,24.8,21117,Kenton County
NA,NA,NA,NA,NA,NA,NA,21119,Knott County
25.6,24.8,24,25.6,25.6,24.8,24.8,21121,Knox County
NA,NA,NA,NA,NA,NA,NA,21123,Larue County
26,26,26,26,26,24.8,25.6,21125,Laurel County
24.8,NA,NA,NA,NA,NA,NA,21127,Lawrence County
NA,NA,NA,NA,NA,NA,NA,21129,Lee County
NA,NA,NA,NA,NA,NA,NA,21131,Leslie County
NA,NA,NA,NA,NA,NA,NA,21133,Letcher County
NA,NA,NA,NA,NA,NA,NA,21135,Lewis County
24.8,NA,NA,25.6,25.6,NA,NA,21137,Lincoln County
NA,NA,NA,NA,NA,NA,NA,21139,Livingston County
26,NA,NA,NA,NA,NA,NA,21141,Logan County
NA,NA,NA,NA,NA,NA,NA,21143,Lyon County
26,26,26,26,26,26,26,21145,McCracken County
25.6,NA,NA,NA,NA,NA,NA,21147,McCreary County
NA,NA,NA,NA,NA,NA,NA,21149,McLean County
26,26,26,26,26,26,26,21151,Madison County
NA,NA,NA,NA,NA,NA,NA,21153,Magoffin County
NA,NA,NA,NA,NA,NA,NA,21155,Marion County
NA,NA,NA,NA,NA,NA,NA,21157,Marshall County
NA,NA,NA,NA,NA,NA,NA,21159,Martin County
20.5,NA,NA,NA,NA,NA,NA,21161,Mason County
NA,NA,NA,NA,NA,NA,NA,21163,Meade County
NA,NA,NA,NA,NA,NA,NA,21165,Menifee County
NA,NA,NA,NA,NA,NA,NA,21167,Mercer County
NA,NA,NA,NA,NA,NA,NA,21169,Metcalfe County
NA,NA,NA,NA,NA,NA,NA,21171,Monroe County
25.6,25.6,25.6,26,NA,23.2,24,21173,Montgomery County
NA,NA,NA,NA,NA,NA,NA,21175,Morgan County
23.2,NA,24,24,23.2,NA,NA,21177,Muhlenberg County
26,26,26,26,26,26,26,21179,Nelson County
NA,NA,NA,NA,NA,NA,NA,21181,Nicholas County
26,NA,NA,NA,NA,NA,NA,21183,Ohio County
26,NA,NA,NA,NA,NA,26,21185,Oldham County
NA,NA,NA,NA,NA,NA,NA,21187,Owen County
NA,NA,NA,NA,NA,NA,NA,21189,Owsley County
20.5,NA,NA,NA,NA,NA,NA,21191,Pendleton County
25.6,26,24.8,25.6,25.6,NA,NA,21193,Perry County
25.6,26,25.6,23.2,24,24.8,24.8,21195,Pike County
NA,NA,NA,NA,NA,NA,NA,21197,Powell County
26,26,26,26,26,26,26,21199,Pulaski County
NA,NA,NA,NA,NA,NA,NA,21201,Robertson County
NA,NA,NA,NA,NA,NA,NA,21203,Rockcastle County
NA,NA,NA,NA,NA,NA,NA,21205,Rowan County
NA,NA,NA,NA,NA,NA,NA,21207,Russell County
26,NA,NA,26,26,26,26,21209,Scott County
26,26,26,26,26,26,26,21211,Shelby County
NA,NA,NA,NA,NA,NA,NA,21213,Simpson County
NA,NA,NA,NA,NA,NA,NA,21215,Spencer County
26,NA,NA,NA,NA,24.8,NA,21217,Taylor County
NA,NA,NA,NA,NA,NA,NA,21219,Todd County
NA,NA,NA,NA,NA,NA,NA,21221,Trigg County
NA,NA,NA,NA,NA,NA,NA,21223,Trimble County
NA,NA,NA,NA,NA,NA,NA,21225,Union County
26,26,26,26,26,26,26,21227,Warren County
NA,NA,NA,NA,NA,NA,NA,21229,Washington County
NA,NA,NA,NA,NA,NA,NA,21231,Wayne County
NA,NA,NA,NA,NA,NA,NA,21233,Webster County
24,23.2,23.2,25.6,26,26,26,21235,Whitley County
NA,NA,NA,NA,NA,NA,NA,21237,Wolfe County
NA,NA,NA,NA,NA,NA,NA,21239,Woodford County
24.8,24.8,24.8,25.6,25.6,25.6,26,22000,Louisiana
24,24,24.8,25.6,25.6,26,26,22001,Acadia Parish
NA,NA,NA,NA,NA,NA,NA,22003,Allen Parish
25.6,26,25.6,26,26,26,26,22005,Ascension Parish
24.8,22.4,NA,NA,NA,NA,NA,22007,Assumption Parish
25.6,24.8,25.6,26,26,26,26,22009,Avoyelles Parish
26,26,25.6,26,26,NA,NA,22011,Beauregard Parish
18.5,NA,NA,NA,NA,NA,NA,22013,Bienville Parish
26,25.6,26,26,26,26,26,22015,Bossier Parish
20.5,20.5,20.5,20.5,20.5,22.4,23.2,22017,Caddo Parish
24,25.6,25.6,25.6,25.6,26,26,22019,Calcasieu Parish
NA,NA,NA,NA,NA,NA,NA,22021,Caldwell Parish
NA,NA,NA,NA,NA,NA,NA,22023,Cameron Parish
NA,NA,NA,NA,NA,NA,NA,22025,Catahoula Parish
22.4,16.4,19.5,NA,NA,NA,NA,22027,Claiborne Parish
20.5,23.2,23.2,20.5,19.5,20.5,20.5,22029,Concordia Parish
24,22.4,22.4,23.2,24,25.6,NA,22031,De Soto Parish
23.2,24,24,24,24,23.2,23.2,22033,East Baton Rouge Parish
4.7,NA,NA,NA,NA,NA,NA,22035,East Carroll Parish
24.8,22.4,NA,NA,NA,NA,NA,22037,East Feliciana Parish
24.8,25.6,24.8,25.6,25.6,NA,26,22039,Evangeline Parish
25.6,24,NA,NA,NA,22.4,24,22041,Franklin Parish
26,22.4,NA,NA,NA,NA,NA,22043,Grant Parish
25.6,25.6,26,25.6,25.6,25.6,26,22045,Iberia Parish
24.8,25.6,24.8,25.6,25.6,26,26,22047,Iberville Parish
NA,NA,NA,NA,NA,NA,NA,22049,Jackson Parish
26,25.6,26,26,26,26,26,22051,Jefferson Parish
24,24.8,24,24,24.8,26,26,22053,Jefferson Davis Parish
25.6,24,24.8,26,26,26,26,22055,Lafayette Parish
26,26,26,26,26,26,26,22057,Lafourche Parish
NA,NA,NA,NA,NA,NA,NA,22059,La Salle Parish
25.6,23.2,24,26,26,26,26,22061,Lincoln Parish
26,26,26,26,26,25.6,25.6,22063,Livingston Parish
22.4,NA,NA,NA,NA,NA,NA,22065,Madison Parish
26,22.4,25.6,25.6,24.8,25.6,24,22067,Morehouse Parish
25.6,24,26,25.6,24.8,20.5,20.5,22069,Natchitoches Parish
24.8,24,24.8,25.6,25.6,26,26,22071,Orleans Parish
22.4,23.2,23.2,24,24.8,25.6,25.6,22073,Ouachita Parish
26,NA,NA,NA,NA,NA,NA,22075,Plaquemines Parish
23.2,24,23.2,20.5,20.5,22.4,20.5,22077,Pointe Coupee Parish
25.6,24,24.8,26,26,26,26,22079,Rapides Parish
NA,NA,NA,NA,NA,NA,NA,22081,Red River Parish
24,18.5,22.4,NA,NA,23.2,23.2,22083,Richland Parish
26,24.8,NA,NA,NA,24,NA,22085,Sabine Parish
26,26,26,NA,26,26,26,22087,St. Bernard Parish
26,24.8,25.6,26,26,26,26,22089,St. Charles Parish
NA,NA,NA,NA,NA,NA,NA,22091,St. Helena Parish
26,NA,NA,NA,24.8,19.5,19.5,22093,St. James Parish
24,24,24.8,24,24.8,26,26,22095,St. John the Baptist Parish
25.6,24,24.8,26,26,25.6,25.6,22097,St. Landry Parish
24,23.2,23.2,24,24.8,26,24.8,22099,St. Martin Parish
26,26,26,26,26,26,26,22101,St. Mary Parish
26,26,26,26,26,26,26,22103,St. Tammany Parish
24,25.6,24.8,24.8,24.8,25.6,25.6,22105,Tangipahoa Parish
NA,NA,NA,NA,NA,NA,NA,22107,Tensas Parish
25.6,25.6,25.6,25.6,26,26,26,22109,Terrebonne Parish
26,24.8,23.2,22.4,24,NA,NA,22111,Union Parish
26,25.6,26,26,26,26,26,22113,Vermilion Parish
26,26,26,26,26,26,26,22115,Vernon Parish
24.8,24,24.8,24.8,24,23.2,23.2,22117,Washington Parish
23.2,22.4,23.2,25.6,24.8,26,26,22119,Webster Parish
20.5,19.5,20.5,24,24.8,NA,NA,22121,West Baton Rouge Parish
NA,NA,NA,NA,NA,NA,NA,22123,West Carroll Parish
NA,NA,NA,NA,NA,NA,NA,22125,West Feliciana Parish
NA,NA,NA,NA,NA,NA,NA,22127,Winn Parish
26,26,26,26,26,26,26,23000,Maine
26,26,26,26,26,26,26,23001,Androscoggin County
26,26,26,26,26,25.6,24.8,23003,Aroostook County
26,26,26,26,26,26,26,23005,Cumberland County
NA,NA,NA,NA,NA,NA,NA,23007,Franklin County
NA,NA,NA,NA,26,NA,NA,23009,Hancock County
26,26,26,26,26,26,26,23011,Kennebec County
26,NA,NA,NA,NA,NA,NA,23013,Knox County
NA,NA,NA,NA,NA,NA,NA,23015,Lincoln County
26,26,26,26,26,NA,NA,23017,Oxford County
26,26,26,26,26,26,26,23019,Penobscot County
NA,NA,NA,NA,NA,NA,NA,23021,Piscataquis County
NA,NA,NA,NA,NA,NA,NA,23023,Sagadahoc County
26,26,26,25.6,25.6,25.6,26,23025,Somerset County
26,NA,NA,NA,NA,NA,NA,23027,Waldo County
NA,NA,NA,NA,NA,NA,NA,23029,Washington County
26,26,26,26,26,26,26,23031,York County
26,26,26,26,26,26,26,24000,Maryland
26,26,26,26,26,26,26,24001,Allegany County
26,26,26,26,26,26,26,24003,Anne Arundel County
26,26,26,26,26,26,26,24005,Baltimore County
26,26,26,26,26,26,26,24009,Calvert County
25.6,NA,26,26,26,24.8,25.6,24011,Caroline County
26,26,26,26,26,26,26,24013,Carroll County
26,26,26,26,26,26,26,24015,Cecil County
25.6,25.6,25.6,26,26,26,26,24017,Charles County
17.5,22.4,20.5,20.5,23.2,NA,NA,24019,Dorchester County
26,26,26,26,26,26,26,24021,Frederick County
NA,NA,NA,NA,NA,NA,NA,24023,Garrett County
26,26,26,26,26,26,26,24025,Harford County
26,26,26,26,26,26,26,24027,Howard County
NA,NA,NA,NA,NA,NA,NA,24029,Kent County
26,26,26,26,26,26,26,24031,Montgomery County
24,24,24.8,24.8,24.8,25.6,25.6,24033,Prince George's County
26,NA,26,NA,NA,NA,NA,24035,Queen Anne's County
26,26,26,26,26,26,26,24037,St. Mary's County
25.6,23.2,23.2,NA,23.2,23.2,17.5,24039,Somerset County
NA,NA,NA,NA,NA,24.8,24,24041,Talbot County
26,26,26,26,26,26,26,24043,Washington County
25.6,26,25.6,25.6,25.6,25.6,24.8,24045,Wicomico County
26,26,26,26,26,24,24.8,24047,Worcester County
20.5,23.2,22.4,23.2,23.2,24,24.8,24510,Baltimore city
26,26,26,26,26,26,26,25000,Massachusetts
26,26,26,26,26,26,26,25001,Barnstable County
26,26,26,26,26,26,26,25003,Berkshire County
26,26,26,26,26,26,26,25005,Bristol County
NA,NA,NA,NA,NA,NA,NA,25007,Dukes County
26,26,26,26,26,26,26,25009,Essex County
26,NA,26,26,26,26,26,25011,Franklin County
26,26,26,26,26,26,26,25013,Hampden County
26,26,26,26,26,26,26,25015,Hampshire County
26,26,26,26,26,26,26,25017,Middlesex County
NA,NA,NA,NA,NA,NA,NA,25019,Nantucket County
26,26,26,26,26,26,26,25021,Norfolk County
26,26,26,26,26,26,26,25023,Plymouth County
26,26,26,26,26,26,26,25025,Suffolk County
26,26,26,26,26,26,26,25027,Worcester County
26,26,26,26,26,26,26,26000,Michigan
NA,NA,NA,NA,NA,NA,NA,26001,Alcona County
NA,NA,NA,NA,NA,NA,NA,26003,Alger County
26,26,26,26,26,26,26,26005,Allegan County
26,NA,NA,NA,NA,NA,NA,26007,Alpena County
25.6,NA,NA,NA,NA,NA,NA,26009,Antrim County
NA,NA,NA,NA,NA,NA,NA,26011,Arenac County
NA,NA,NA,NA,NA,NA,NA,26013,Baraga County
25.6,26,26,26,26,26,NA,26015,Barry County
26,26,26,26,26,26,26,26017,Bay County
NA,NA,NA,NA,NA,NA,NA,26019,Benzie County
24.8,25.6,25.6,25.6,25.6,26,26,26021,Berrien County
26,26,26,NA,NA,26,26,26023,Branch County
23.2,24.8,24,24.8,24.8,26,26,26025,Calhoun County
26,25.6,25.6,26,26,26,26,26027,Cass County
NA,NA,NA,NA,NA,NA,NA,26029,Charlevoix County
NA,NA,NA,NA,NA,NA,NA,26031,Cheboygan County
NA,NA,NA,NA,NA,NA,NA,26033,Chippewa County
26,24.8,NA,NA,NA,NA,NA,26035,Clare County
26,26,26,NA,NA,26,26,26037,Clinton County
NA,NA,NA,NA,NA,NA,NA,26039,Crawford County
NA,NA,NA,NA,NA,NA,NA,26041,Delta County
25.6,NA,NA,NA,NA,NA,NA,26043,Dickinson County
26,26,26,26,26,26,26,26045,Eaton County
NA,NA,NA,NA,NA,NA,NA,26047,Emmet County
25.6,24,24.8,25.6,25.6,25.6,25.6,26049,Genesee County
NA,NA,NA,NA,NA,NA,NA,26051,Gladwin County
NA,NA,NA,NA,NA,NA,NA,26053,Gogebic County
26,26,26,26,26,26,26,26055,Grand Traverse County
25.6,25.6,25.6,26,26,NA,NA,26057,Gratiot County
26,26,26,26,26,NA,26,26059,Hillsdale County
26,NA,NA,NA,NA,NA,NA,26061,Houghton County
NA,NA,NA,NA,NA,NA,NA,26063,Huron County
26,26,26,26,26,26,26,26065,Ingham County
26,26,26,26,26,26,26,26067,Ionia County
NA,NA,NA,NA,NA,NA,NA,26069,Iosco County
NA,NA,NA,NA,NA,NA,NA,26071,Iron County
26,26,26,26,26,26,26,26073,Isabella County
26,26,26,26,26,26,26,26075,Jackson County
25.6,26,26,26,26,26,26,26077,Kalamazoo County
NA,NA,NA,NA,NA,NA,NA,26079,Kalkaska County
26,26,26,26,26,26,26,26081,Kent County
NA,NA,NA,NA,NA,NA,NA,26083,Keweenaw County
NA,NA,NA,NA,NA,NA,NA,26085,Lake County
25.6,26,26,26,26,26,26,26087,Lapeer County
NA,NA,NA,NA,NA,NA,NA,26089,Leelanau County
24.8,26,25.6,25.6,25.6,25.6,26,26091,Lenawee County
26,26,26,26,26,26,26,26093,Livingston County
NA,NA,NA,NA,NA,NA,NA,26095,Luce County
NA,NA,NA,NA,NA,NA,NA,26097,Mackinac County
26,26,26,26,26,26,26,26099,Macomb County
NA,NA,NA,NA,NA,NA,NA,26101,Manistee County
26,NA,NA,26,NA,NA,NA,26103,Marquette County
26,NA,NA,NA,NA,NA,NA,26105,Mason County
26,25.6,25.6,25.6,24.8,25.6,25.6,26107,Mecosta County
NA,NA,NA,NA,NA,NA,NA,26109,Menominee County
26,26,26,26,26,26,26,26111,Midland County
NA,NA,NA,NA,NA,NA,NA,26113,Missaukee County
26,26,26,26,26,26,26,26115,Monroe County
26,26,26,26,26,26,26,26117,Montcalm County
NA,NA,NA,NA,NA,NA,NA,26119,Montmorency County
26,26,26,26,25.6,25.6,25.6,26121,Muskegon County
26,26,26,26,26,26,26,26123,Newaygo County
26,26,26,26,26,26,26,26125,Oakland County
26,25.6,25.6,NA,NA,24.8,NA,26127,Oceana County
NA,NA,NA,NA,NA,NA,NA,26129,Ogemaw County
NA,NA,NA,NA,NA,NA,NA,26131,Ontonagon County
NA,NA,NA,NA,NA,NA,NA,26133,Osceola County
NA,NA,NA,NA,NA,NA,NA,26135,Oscoda County
26,NA,NA,NA,NA,NA,NA,26137,Otsego County
26,26,26,26,26,26,26,26139,Ottawa County
NA,NA,NA,NA,NA,NA,NA,26141,Presque Isle County
NA,NA,NA,NA,NA,NA,NA,26143,Roscommon County
25.6,24.8,25.6,25.6,25.6,25.6,25.6,26145,Saginaw County
26,26,26,26,26,26,26,26147,St. Clair County
24,25.6,24.8,25.6,25.6,26,26,26149,St. Joseph County
26,26,26,NA,NA,NA,NA,26151,Sanilac County
NA,NA,NA,NA,NA,NA,NA,26153,Schoolcraft County
26,25.6,26,26,26,26,26,26155,Shiawassee County
26,26,26,NA,NA,26,NA,26157,Tuscola County
26,26,26,26,26,26,26,26159,Van Buren County
26,26,26,26,26,26,26,26161,Washtenaw County
24,24,24,24,24,24.8,24.8,26163,Wayne County
26,26,26,26,26,26,26,26165,Wexford County
26,26,26,26,26,26,26,27000,Minnesota
NA,NA,NA,NA,NA,NA,NA,27001,Aitkin County
26,26,26,26,26,26,26,27003,Anoka County
24.8,NA,26,25.6,26,NA,NA,27005,Becker County
25.6,26,26,24.8,24.8,24,24,27007,Beltrami County
26,26,26,26,26,26,26,27009,Benton County
NA,NA,NA,NA,NA,NA,NA,27011,Big Stone County
26,NA,NA,26,26,26,26,27013,Blue Earth County
NA,NA,NA,NA,NA,NA,NA,27015,Brown County
26,NA,NA,NA,NA,NA,NA,27017,Carlton County
26,26,26,26,26,26,26,27019,Carver County
26,NA,NA,NA,NA,24.8,24.8,27021,Cass County
NA,NA,NA,NA,NA,NA,NA,27023,Chippewa County
26,26,26,26,26,26,26,27025,Chisago County
24.8,25.6,25.6,26,26,26,26,27027,Clay County
NA,NA,NA,NA,NA,NA,NA,27029,Clearwater County
NA,NA,NA,NA,NA,NA,NA,27031,Cook County
NA,NA,NA,NA,NA,NA,NA,27033,Cottonwood County
26,26,26,26,26,26,26,27035,Crow Wing County
26,26,26,26,26,26,26,27037,Dakota County
NA,NA,NA,NA,NA,NA,NA,27039,Dodge County
26,NA,NA,NA,NA,NA,NA,27041,Douglas County
NA,NA,NA,NA,NA,NA,NA,27043,Faribault County
NA,NA,NA,NA,NA,NA,NA,27045,Fillmore County
26,NA,NA,NA,NA,NA,NA,27047,Freeborn County
26,NA,26,NA,NA,NA,NA,27049,Goodhue County
NA,NA,NA,NA,NA,NA,NA,27051,Grant County
26,26,26,26,26,26,26,27053,Hennepin County
NA,NA,NA,NA,NA,NA,NA,27055,Houston County
NA,NA,NA,NA,NA,NA,NA,27057,Hubbard County
26,NA,NA,NA,NA,NA,26,27059,Isanti County
26,26,NA,NA,NA,NA,26,27061,Itasca County
NA,NA,NA,NA,NA,NA,NA,27063,Jackson County
NA,NA,NA,NA,NA,NA,NA,27065,Kanabec County
26,NA,NA,NA,NA,NA,NA,27067,Kandiyohi County
NA,NA,NA,NA,NA,NA,NA,27069,Kittson County
NA,NA,NA,NA,NA,NA,NA,27071,Koochiching County
NA,NA,NA,NA,NA,NA,NA,27073,Lac qui Parle County
NA,NA,NA,NA,NA,NA,NA,27075,Lake County
NA,NA,NA,NA,NA,NA,NA,27077,Lake of the Woods County
NA,NA,NA,NA,NA,NA,NA,27079,Le Sueur County
NA,NA,NA,NA,NA,NA,NA,27081,Lincoln County
26,NA,NA,NA,NA,NA,NA,27083,Lyon County
NA,NA,NA,NA,NA,NA,NA,27085,McLeod County
NA,NA,NA,NA,NA,NA,NA,27087,Mahnomen County
NA,NA,NA,NA,NA,NA,NA,27089,Marshall County
NA,NA,NA,NA,NA,NA,NA,27091,Martin County
26,NA,NA,NA,NA,NA,NA,27093,Meeker County
25.6,26,NA,NA,NA,NA,NA,27095,Mille Lacs County
26,26,NA,NA,NA,NA,NA,27097,Morrison County
26,NA,26,26,26,NA,NA,27099,Mower County
NA,NA,NA,NA,NA,NA,NA,27101,Murray County
26,NA,26,26,26,NA,NA,27103,Nicollet County
26,NA,NA,NA,NA,NA,NA,27105,Nobles County
NA,NA,NA,NA,NA,NA,NA,27107,Norman County
26,26,26,26,26,26,26,27109,Olmsted County
NA,NA,NA,NA,NA,NA,26,27111,Otter Tail County
NA,NA,NA,NA,NA,NA,NA,27113,Pennington County
26,NA,NA,NA,NA,NA,NA,27115,Pine County
NA,NA,NA,NA,NA,NA,NA,27117,Pipestone County
26,NA,NA,NA,NA,NA,26,27119,Polk County
NA,NA,NA,NA,NA,NA,NA,27121,Pope County
26,26,26,26,26,26,26,27123,Ramsey County
NA,NA,NA,NA,NA,NA,NA,27125,Red Lake County
NA,NA,NA,NA,NA,NA,NA,27127,Redwood County
NA,NA,NA,NA,NA,NA,NA,27129,Renville County
26,26,NA,26,26,26,26,27131,Rice County
NA,NA,NA,NA,NA,NA,NA,27133,Rock County
NA,NA,NA,NA,NA,NA,NA,27135,Roseau County
26,26,26,26,26,26,26,27137,St. Louis County
26,26,26,26,26,26,26,27139,Scott County
26,26,26,26,26,26,26,27141,Sherburne County
NA,NA,NA,NA,NA,NA,NA,27143,Sibley County
26,26,26,26,26,26,26,27145,Stearns County
NA,NA,NA,NA,NA,NA,NA,27147,Steele County
NA,NA,NA,NA,NA,NA,NA,27149,Stevens County
NA,NA,NA,NA,NA,NA,NA,27151,Swift County
NA,NA,NA,NA,NA,NA,NA,27153,Todd County
NA,NA,NA,NA,NA,NA,NA,27155,Traverse County
NA,NA,NA,NA,NA,NA,NA,27157,Wabasha County
NA,NA,NA,NA,NA,NA,NA,27159,Wadena County
NA,NA,NA,NA,NA,NA,NA,27161,Waseca County
26,26,26,26,26,26,26,27163,Washington County
NA,NA,NA,NA,NA,NA,NA,27165,Watonwan County
NA,NA,NA,NA,NA,NA,NA,27167,Wilkin County
26,26,NA,26,NA,NA,26,27169,Winona County
26,26,26,26,26,26,26,27171,Wright County
NA,NA,NA,NA,NA,NA,NA,27173,Yellow Medicine County
24,24,24,24.8,24.8,24.8,25.6,28000,Mississippi
22.4,24,22.4,22.4,23.2,24.8,24.8,28001,Adams County
26,26,26,26,24.8,24.8,24,28003,Alcorn County
NA,NA,NA,NA,NA,NA,NA,28005,Amite County
23.2,24,24.8,NA,NA,NA,22.4,28007,Attala County
NA,NA,NA,NA,NA,NA,NA,28009,Benton County
19.5,20.5,20.5,22.4,22.4,26,26,28011,Bolivar County
23.2,NA,NA,NA,NA,NA,NA,28013,Calhoun County
NA,NA,NA,NA,NA,NA,NA,28015,Carroll County
23.2,24,NA,NA,NA,NA,NA,28017,Chickasaw County
19.5,NA,NA,NA,NA,NA,NA,28019,Choctaw County
NA,NA,NA,NA,NA,NA,NA,28021,Claiborne County
23.2,NA,NA,NA,NA,NA,NA,28023,Clarke County
24,20.5,24.8,NA,NA,19.5,19.5,28025,Clay County
22.4,15.3,20.5,23.2,23.2,24.8,25.6,28027,Coahoma County
24,22.4,24,22.4,22.4,23.2,24,28029,Copiah County
23.2,20.5,24,23.2,NA,NA,NA,28031,Covington County
26,26,26,26,26,26,26,28033,DeSoto County
